issn_l_prefixed,issn_l,title,issns,publisher,subject,subject_top_three,subjects_all,subscribed,is_society_journal,usage,subscription_cost,ill_cost,cpu,cpu_rank,cost,instant_usage_percent,free_instant_usage_percent,subscription_minus_ill_cost,use_oa_percent,use_backfile_percent,use_subscription_percent,use_ill_percent,use_other_delayed_percent,perpetual_access_years_text,baseline_access_text,bronze_oa_embargo_months,downloads,citations,authorships,cpu_fuzzed,subscription_cost_fuzzed,subscription_minus_ill_cost_fuzzed,usage_fuzzed,downloads_fuzzed,citations_fuzzed,authorships_fuzzed
issn:1097-2765,1097-2765,Molecular Cell,"['1097-2765', '1097-4164']",Elsevier BV,Biology,"Biology,Chemistry,Genetics","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C121332964"",""Physics""]]",False,False,2197,2017.8,386.0767,3.142178,15.0,386.0767,76.365,76,1632,73,3,0,1,22,2016-2025,,12,1922,27.6,0.0,low,low,low,high,high,high,low
issn:2590-2865,2590-2865,Applied Animal Science,"['2590-2865', '2590-2873']",Elsevier BV,Biology,"Animal science,Biology,Chemistry","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C205649164"",""Geography""], [""C71924100"",""Medicine""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C121332964"",""Physics""], [""C39432304"",""Environmental science""], [""C127413603"",""Engineering""], [""C127313418"",""Geology""], [""C192562407"",""Materials science""]]",False,False,212,230.6,37.888,3.434485,16.0,37.888,73.5071,74,193,69,4,0,1,25,2016-2025,,,168,0.4,0.4,low,low,low,low,low,low,medium
issn:2211-2855,2211-2855,Nano Energy,"['2211-2855', '2211-3282']",Elsevier BV,Materials science,"Engineering,Materials science,Physics","[[""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""]]",False,False,1286,3390.8,500.3155,4.078916,17.0,500.3155,44.889,45,2890,13,32,0,3,52,2016-2025,,,1068,11.8,1.0,low,low,low,high,high,medium,high
issn:1359-6454,1359-6454,Acta Materialia,"['1359-6454', '1873-2453']",Elsevier BV,Materials science,"Chemistry,Materials science,Physics","[[""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C127313418"",""Geology""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C205649164"",""Geography""], [""C33923547"",""Mathematics""]]",False,False,5683,6765.0,940.0564,4.157802,18.0,940.0564,75.347,75,5825,35,40,0,1,23,2016-2025,,,4486,73.8,4.6,low,medium,medium,high,high,high,high
issn:0092-8674,0092-8674,Cell,"['0092-8674', '1097-4172']",Cell Press,Biology,"Biology,Chemistry,Genetics","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C121332964"",""Physics""]]",False,False,4967,4006.8,548.7585,4.163648,19.0,548.7585,83.2775,83,3458,81,2,0,1,16,2016-2025,,12,3861,108.8,0.2,low,medium,medium,high,high,high,low
issn:0960-9822,0960-9822,Current Biology,"['0960-9822', '1879-0445']",Elsevier BV,Biology,"Biology,Chemistry,Genetics","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C15744967"",""Psychology""], [""C121332964"",""Physics""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""]]",False,False,2552,2906.0,410.1016,4.197231,20.0,410.1016,76.7026,77,2496,74,3,0,1,22,2016-2025,,12,2071,40.2,0.8,low,low,low,high,high,high,high
issn:1674-2052,1674-2052,Molecular Plant,"['1752-9859', '1752-9867', '1674-2052']",Elsevier BV,Biology,"Biology,Chemistry,Genetics","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C121332964"",""Physics""]]",False,False,1510,2421.8,311.3217,4.447102,21.0,311.3217,68.5636,69,2110,63,6,0,2,30,2016-2025,,18,1165,24.6,1.0,low,low,low,high,high,high,high
issn:0034-5288,0034-5288,Research in Veterinary Science,"['0034-5288', '1532-2661']",Elsevier BV,Biology,"Biology,Genetics,Medicine","[[""C86803240"",""Biology""], [""C71924100"",""Medicine""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""], [""C121332964"",""Physics""], [""C15744967"",""Psychology""]]",False,True,1223,2038.0,272.7231,4.61331,22.0,272.7231,68.7012,69,1765,29,40,0,2,30,2016-2025,,,1025,13.8,0.6,low,low,low,high,high,medium,medium
issn:1096-7176,1096-7176,Metabolic Engineering,"['1096-7176', '1096-7184']",Elsevier BV,Biology,"Biochemistry,Biology,Chemistry","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C121332964"",""Physics""], [""C71924100"",""Medicine""], [""C127313418"",""Geology""], [""C127413603"",""Engineering""], [""C192562407"",""Materials science""]]",False,True,837,1442.4,186.6004,4.714917,23.0,186.6004,68.1605,68,1256,37,31,0,2,30,2016-2025,,,689,10.8,0.4,low,low,low,medium,medium,medium,medium
issn:0168-1699,0168-1699,Computers and Electronics in Agriculture,"['0168-1699', '1872-7107']",Elsevier BV,Computer science,"Biology,Computer science,Engineering","[[""C41008148"",""Computer science""], [""C86803240"",""Biology""], [""C127413603"",""Engineering""], [""C33923547"",""Mathematics""], [""C205649164"",""Geography""], [""C121332964"",""Physics""], [""C127313418"",""Geology""], [""C39432304"",""Environmental science""], [""C95457728"",""History""], [""C15744967"",""Psychology""], [""C185592680"",""Chemistry""], [""C162324750"",""Economics""]]",False,False,1958,4652.2,575.4669,5.063536,24.0,575.4669,58.8778,59,4077,24,35,0,2,39,2016-2025,,,1646,25.2,0.6,low,medium,medium,high,high,high,medium
issn:1475-1585,1475-1585,Journal of English for Academic Purposes,"['1475-1585', '1878-1497']",Elsevier BV,Philosophy,"Computer science,Linguistics,Philosophy","[[""C138885662"",""Philosophy""], [""C41008148"",""Computer science""], [""C144024400"",""Sociology""], [""C15744967"",""Psychology""], [""C33923547"",""Mathematics""], [""C17744445"",""Political science""], [""C86803240"",""Biology""], [""C142362112"",""Art""], [""C162324750"",""Economics""], [""C121332964"",""Physics""], [""C71924100"",""Medicine""], [""C205649164"",""Geography""], [""C95457728"",""History""]]",False,True,710,1699.0,237.3393,5.176341,25.0,237.3393,60.2196,60,1462,20,40,0,2,38,2016-2025,,,702,0.8,0.0,low,low,low,medium,medium,low,low
issn:1385-8947,1385-8947,Chemical engineering journal,"['1385-8947', '1873-3212']",,Chemistry,"Chemistry,Engineering,Organic chemistry","[[""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C192562407"",""Materials science""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""], [""C33923547"",""Mathematics""]]",False,False,3087,11027.0,1337.7308,5.450827,26.0,1337.7308,42.4244,42,9689,13,29,0,3,55,2016-2025,,,2733,21.4,1.4,low,high,high,high,high,high,high
issn:1226-086X,1226-086X,Journal of Industrial and Engineering Chemistry,"['1226-086X', '1876-794X']",Elsevier BV,Chemistry,"Chemistry,Materials science,Organic chemistry","[[""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""], [""C33923547"",""Mathematics""], [""C185592680"",""Chemistry""], [""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""]]",False,False,297,889.2,103.637,5.707852,27.0,103.637,53.7327,54,786,12,42,0,2,44,2016-2025,,,264,3.4,0.0,low,low,low,low,low,low,low
issn:1359-6462,1359-6462,Scripta Materialia,"['1359-6462', '1872-8456']",Elsevier BV,Materials science,"Chemistry,Materials science,Physics","[[""C192562407"",""Materials science""], [""C185592680"",""Chemistry""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C127313418"",""Geology""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C205649164"",""Geography""], [""C33923547"",""Mathematics""]]",False,False,1881,3282.8,353.0393,5.735956,28.0,353.0393,72.8428,73,2930,32,41,0,1,26,2016-2025,,,1529,27.2,0.8,low,low,low,high,high,high,high
issn:0301-4797,0301-4797,Journal of Environmental Management,"['0301-4797', '1095-8630']",Elsevier BV,Biology,"Biology,Ecology,Environmental science","[[""C86803240"",""Biology""], [""C39432304"",""Environmental science""], [""C127413603"",""Engineering""], [""C185592680"",""Chemistry""], [""C127313418"",""Geology""], [""C205649164"",""Geography""], [""C121332964"",""Physics""], [""C162324750"",""Economics""], [""C41008148"",""Computer science""], [""C95457728"",""History""], [""C192562407"",""Materials science""], [""C17744445"",""Political science""], [""C144133560"",""Business""], [""C33923547"",""Mathematics""], [""C71924100"",""Medicine""]]",False,False,2188,5283.2,487.0439,5.816043,29.0,487.0439,62.3128,62,4796,31,31,0,2,36,2016-2025,,,1520,22.8,4.4,low,medium,medium,high,high,high,high
issn:0016-5085,0016-5085,Gastroenterology,"['0016-5085', '1528-0012']",,Medicine,"Biology,Internal medicine,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C185592680"",""Chemistry""]]",False,True,718,2098.4,190.275,5.81722,30.0,190.275,54.302,54,1908,9,45,0,2,43,2016-2025,,,490,16.8,0.6,low,low,low,medium,medium,high,medium
issn:1534-5807,1534-5807,Developmental Cell,"['1534-5807', '1878-1551']",Elsevier BV,Biology,"Biology,Chemistry,Genetics","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C121332964"",""Physics""], [""C15744967"",""Psychology""]]",False,False,969,1532.8,151.6145,6.261617,31.0,151.6145,77.2315,77,1381,74,3,0,1,22,2016-2025,,12,783,14.6,0.4,low,low,low,medium,medium,medium,medium
issn:1369-7021,1369-7021,Materials Today,"['1369-7021', '1873-4103']",Elsevier BV,Materials science,"Engineering,Materials science,Physics","[[""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C185592680"",""Chemistry""], [""C41008148"",""Computer science""], [""C86803240"",""Biology""]]",False,False,657,1379.0,143.6145,6.446349,32.0,143.6145,70.8378,71,1235,63,8,0,1,28,2016-2025,,36,579,5.8,0.2,low,low,low,medium,medium,low,low
issn:0969-6989,0969-6989,Journal of Retailing and Consumer Services,"['0969-6989', '1873-1384']",Elsevier BV,Business,"Business,Computer science,Marketing","[[""C144133560"",""Business""], [""C41008148"",""Computer science""], [""C162324750"",""Economics""], [""C15744967"",""Psychology""], [""C17744445"",""Political science""], [""C33923547"",""Mathematics""], [""C138885662"",""Philosophy""], [""C86803240"",""Biology""], [""C144024400"",""Sociology""], [""C121332964"",""Physics""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C127413603"",""Engineering""]]",False,False,780,2802.8,280.4908,6.529325,33.0,280.4908,50.4915,50,2522,20,30,0,2,47,2016-2025,,,667,5.4,0.6,low,low,low,medium,medium,low,medium
issn:0956-5663,0956-5663,Biosensors and Bioelectronics,"['0956-5663', '1873-4235']",Elsevier BV,Chemistry,"Biology,Chemistry,Materials science","[[""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C71924100"",""Medicine""], [""C33923547"",""Mathematics""], [""C41008148"",""Computer science""]]",False,False,2519,7695.4,749.7852,6.531446,34.0,749.7852,57.7839,58,6946,20,37,0,2,40,2016-2025,,,2089,21.0,2.2,low,high,medium,high,high,high,high
issn:0048-9697,0048-9697,Science of the total environment,"['0048-9697', '1879-1026']",,Biology,"Biology,Chemistry,Ecology","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C39432304"",""Environmental science""], [""C127313418"",""Geology""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C205649164"",""Geography""], [""C71924100"",""Medicine""], [""C192562407"",""Materials science""], [""C41008148"",""Computer science""], [""C95457728"",""History""]]",False,False,6259,20965.6,1877.5166,6.609632,35.0,1877.5166,53.8625,54,19088,28,26,0,2,44,2016-2025,,,4788,73.2,7.4,low,high,high,high,high,high,high
issn:0956-7135,0956-7135,Food Control,"['0956-7135', '1873-7129']",Elsevier BV,Biology,"Biology,Chemistry,Food science","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C127313418"",""Geology""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C144133560"",""Business""], [""C192562407"",""Materials science""]]",False,True,1293,4437.4,435.3976,6.919275,36.0,435.3976,55.2534,55,4002,21,34,0,2,43,2016-2025,,,1145,10.8,0.4,low,medium,medium,high,high,medium,medium
issn:0268-005X,0268-005X,Food Hydrocolloids,"['0268-005X', '1873-7137']",Elsevier BV,Chemistry,"Biology,Chemistry,Organic chemistry","[[""C185592680"",""Chemistry""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""], [""C192562407"",""Materials science""], [""C71924100"",""Medicine""], [""C127313418"",""Geology""]]",False,False,1073,3621.2,326.2801,7.001209,37.0,326.2801,56.1322,56,3295,18,38,0,2,42,2016-2025,,,875,13.8,0.6,low,medium,low,medium,high,medium,medium
issn:1610-8167,1610-8167,Urban forestry & urban greening,"['1610-8167', '1618-8667']",Elsevier BV,Geography,"Biology,Ecology,Geography","[[""C205649164"",""Geography""], [""C86803240"",""Biology""], [""C39432304"",""Environmental science""], [""C162324750"",""Economics""], [""C127313418"",""Geology""], [""C127413603"",""Engineering""], [""C71924100"",""Medicine""], [""C95457728"",""History""], [""C121332964"",""Physics""], [""C17744445"",""Political science""], [""C41008148"",""Computer science""], [""C144024400"",""Sociology""], [""C33923547"",""Mathematics""], [""C138885662"",""Philosophy""], [""C144133560"",""Business""]]",False,False,439,1003.2,99.8357,7.026995,38.0,99.8357,70.7182,71,903,46,25,0,1,28,2016-2025,,,401,1.8,0.2,low,low,low,low,low,low,low
issn:0958-9465,0958-9465,Cement and Concrete Composites,"['0958-9465', '1873-393X']",Elsevier BV,Materials science,"Composite material,Engineering,Materials science","[[""C192562407"",""Materials science""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C127313418"",""Geology""], [""C86803240"",""Biology""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""]]",False,False,1581,4392.8,301.7545,7.205164,39.0,301.7545,64.0837,64,4091,23,41,0,2,34,2016-2025,,,988,45.4,1.4,low,medium,medium,high,high,high,high
issn:0929-1199,0929-1199,Journal of Corporate Finance,"['0929-1199', '1872-6313']",Elsevier BV,Business,"Business,Economics,Finance","[[""C144133560"",""Business""], [""C162324750"",""Economics""], [""C17744445"",""Political science""], [""C41008148"",""Computer science""], [""C33923547"",""Mathematics""], [""C205649164"",""Geography""], [""C95457728"",""History""], [""C138885662"",""Philosophy""], [""C86803240"",""Biology""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""]]",False,False,580,1981.8,170.297,7.457086,40.0,170.297,58.1265,58,1812,24,35,0,2,40,2016-2025,,,478,4.2,0.6,low,low,low,low,low,low,medium
issn:0924-2244,0924-2244,Trends in Food Science & Technology,"['0924-2244', '1879-3053']",Elsevier BV,Biology,"Biology,Chemistry,Food science","[[""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C71924100"",""Medicine""], [""C127413603"",""Engineering""], [""C121332964"",""Physics""], [""C41008148"",""Computer science""], [""C144133560"",""Business""], [""C192562407"",""Materials science""], [""C17744445"",""Political science""], [""C127313418"",""Geology""]]",False,False,1310,4815.6,417.1858,7.841399,41.0,417.1858,57.1783,57,4398,26,31,0,2,41,2016-2025,,,1146,14.4,0.2,low,medium,medium,high,high,medium,low
issn:0148-2963,0148-2963,Journal of Business Research,"['0148-2963', '1873-7978']",Elsevier BV,Business,"Business,Computer science,Economics","[[""C144133560"",""Business""], [""C162324750"",""Economics""], [""C41008148"",""Computer science""], [""C17744445"",""Political science""], [""C15744967"",""Psychology""], [""C33923547"",""Mathematics""], [""C138885662"",""Philosophy""], [""C86803240"",""Biology""], [""C144024400"",""Sociology""], [""C121332964"",""Physics""], [""C205649164"",""Geography""], [""C127413603"",""Engineering""], [""C95457728"",""History""]]",False,False,2549,7156.0,610.2436,7.924218,42.0,610.2436,67.5991,68,6546,37,30,0,2,31,2016-2025,,,2216,23.4,1.0,low,high,medium,high,high,high,high
issn:2211-9124,2211-9124,Global Food Security,['2211-9124'],Elsevier BV,Biology,"Biology,Ecology,Economics","[[""C86803240"",""Biology""], [""C162324750"",""Economics""], [""C205649164"",""Geography""], [""C144133560"",""Business""], [""C95457728"",""History""], [""C17744445"",""Political science""], [""C71924100"",""Medicine""], [""C144024400"",""Sociology""], [""C39432304"",""Environmental science""], [""C41008148"",""Computer science""], [""C185592680"",""Chemistry""], [""C138885662"",""Philosophy""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""]]",False,False,343,963.6,84.2799,7.996878,43.0,84.2799,67.9575,68,879,53,15,0,2,30,2016-2025,,,309,3.4,0.0,low,low,low,low,low,low,low
issn:1467-2987,1467-2987,Veterinary Anaesthesia and Analgesia,"['1467-2987', '1467-2995']",Elsevier BV,Medicine,"Anesthesia,Biology,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C15744967"",""Psychology""], [""C185592680"",""Chemistry""], [""C121332964"",""Physics""], [""C127413603"",""Engineering""]]",False,True,523,1836.8,155.8027,8.087837,44.0,155.8027,60.232,60,1681,17,43,0,2,38,2016-2025,,,461,4.2,0.2,low,low,low,low,low,low,low
issn:1557-5063,1557-5063,Journal of Exotic Pet Medicine,"['1557-5063', '1931-6283']",Elsevier BV,Medicine,"Biology,Internal medicine,Medicine","[[""C71924100"",""Medicine""], [""C86803240"",""Biology""], [""C185592680"",""Chemistry""], [""C41008148"",""Computer science""], [""C127313418"",""Geology""], [""C15744967"",""Psychology""]]",False,True,171,707.0,64.7853,8.133797,45.0,64.7853,53.9507,54,642,11,43,0,2,44,2016-2025,,,166,0.6,0.0,low,low,low,low,low,low,low
issn:0272-8842,0272-8842,Ceramics international,"['0272-8842', '1873-3956']",,Materials science,"Chemistry,Materials science,Physics","[[""C192562407"",""Materials science""], [""C121332964"",""Physics""], [""C185592680"",""Chemistry""], [""C127413603"",""Engineering""], [""C86803240"",""Biology""], [""C127313418"",""Geology""], [""C41008148"",""Computer science""]]",False,False,1223,6229.4,506.3385,8.17769,46.0,506.3385,42.7655,43,5723,9,34,0,3,54,2016-2025,,,1041,8.2,1.0,low,medium,medium,high,high,medium,high
issn:0165-4101,0165-4101,Journal of Accounting and Economics,"['0165-4101', '1879-1980']",Elsevier BV,Business,"Accounting,Business,Economics","[[""C144133560"",""Business""], [""C162324750"",""Economics""], [""C41008148"",""Computer science""], [""C17744445"",""Political science""], [""C33923547"",""Mathematics""], [""C138885662"",""Philosophy""], [""C127413603"",""Engineering""], [""C205649164"",""Geography""], [""C86803240"",""Biology""], [""C121332964"",""Physics""], [""C95457728"",""History""]]",False,False,1260,2867.2,249.9426,8.315697,47.0,249.9426,75.0306,75,2617,14,61,0,1,24,2016-2025,,,1178,8.4,0.0,low,low,low,high,high,medium,low
